,Name,Market Cap,P/E Ratio,Revenue,Average Vol. (3m),EPS,Beta,YTD,1 Year,3 Years,Weekly,Monthly,Score
0,Apple,36.62201512105783,0.24838197477138413,33.930980200243056,5.021366970558899,1.8725067678900424,1.0941545004987114,0.9310566906065928,0.8909026336778004,0.6170191053346671,1.5161960871578066,0.13834289277321493,82.88292294456998
1,Microsoft,4.013635430390801e-11,0.44010774365723204,16.04203292302102,4.061324121971332,0.7188372168078313,1.0941545004987114,1.1660737104577346,4.435085385100079,0.9562632588242544,1.5161960871578066,0.13834289277321493,30.568417840309348
3,Cisco,9.669650478897518,0.29890529239096014,6.736577445458136,3.4390106326190337,0.4396459763512182,1.0585722403198916,1.06658797812811,3.936901513619813,0.5390332484006377,1.5161960871578066,0.13834289277321493,28.83942378611634
73,Universal Display,0.34838355535792154,1.5368725952197633,0.04399777919268624,0.12556503278410563,0.2807957878155591,1.3432303217504507,3.481640175984933,15.14673247132896,0.935773524942752,1.5161960871578066,0.13834289277321493,24.897530224308152
81,AudioCodes,0.018557846139497947,0.49398954770816716,0.023677783312777447,0.03505699323351277,0.07541372587046444,0.5337339026822983,2.134257322911977,15.903028320790643,1.6047264433011723,1.5161960871578066,0.13834289277321493,22.47698086588153
2,Intel,8.558676191765345,0.15857896801982546,9.298892171400125,4.075039019808297,0.6995826485004787,0.7383318987105126,0.019104144251703224,-1.630546097463264,0.26483406728834114,0.0,0.06917144638660747,22.251664458667967
90,Taitron,0.0007092093805500546,0.16836238501552372,0.0010435656798790372,0.043099066452663266,0.04171823133259735,1.4321859721975005,2.7823564052622105,11.323622259829985,1.147595372160945,1.137147065368355,0.13834289277321493,18.216182425453425
5,Qualcomm,3.4838355535792154,0.5798499834316087,2.786779796708422,3.6207330289588233,0.2904230719692354,1.4321859721975005,0.8932088576551054,2.8850258184052135,0.18032100981034285,1.137147065368355,0.13834289277321493,17.42785305085704
29,Xilinx,1.1354574632575576,0.47909539049083555,0.4016743371609878,0.7474619321146055,0.5471506494006037,1.0852589354540065,1.091819866762435,8.55793853877102,0.7869533525402594,0.7580980435789033,0.13834289277321493,15.72925140230443
39,Bruker,0.29741038539195835,0.5908015696208231,0.25334361788258386,0.13910506567364955,0.18773204099668805,1.1297367606775315,2.09965358992776,7.705891471671069,0.5291573101862848,1.5161960871578066,0.13834289277321493,14.58737079195937
76,Sapiens,0.03271955739208885,0.7414953955844141,0.038789139421918924,0.02221642013365407,0.051345515486273655,1.0318855451857767,1.7745226820968858,7.897393906947605,0.19133211333669053,1.5161960871578066,0.13834289277321493,13.436239255516329
48,Ubiquiti,0.37005718668203186,0.4360191514799253,0.14964338051095627,0.07704000987469299,0.7124190273720471,1.1920057159904662,1.1156099331890843,7.102242490908073,1.2772880090563283,0.7580980435789033,0.13834289277321493,13.328765841415722
16,Intuit,2.7075984613416337,0.6036514307495014,0.8899843156704241,0.2520112477542363,1.0028420993412823,0.9607210248281369,1.152376399484815,3.007143313364165,0.8059673715161689,1.5161960871578066,0.13834289277321493,13.036834643981388
33,Cypress,0.32590719694773296,0.328547585676434,0.3202893407427485,1.3817759570742483,0.15885018853565913,1.6812617934492395,2.6893588728671274,3.7342974878924626,0.6707124245920119,1.5161960871578066,0.13834289277321493,12.945539827708686
4,Broadcom,4.426638516178015,0.4957418014984416,2.79728108656884,0.4783070620641628,1.3141242869768162,0.8094964190681525,0.283318063808278,0.6924617043695054,0.42438155188918275,0.7580980435789033,0.13834289277321493,12.61819142877351
8,CDW Corp,0.6156916750219489,0.34723829277269336,2.1777049848041794,0.11741838346894827,0.7027917432183707,0.934034329694022,1.0655066114723533,3.410963666012513,0.8815126230294098,1.5161960871578066,0.13834289277321493,11.907401289425461
21,Equinix,1.6993732412274654,1.4350958542346637,0.6852091633922733,0.06657897154954776,0.8215282477803785,0.6582718133081679,1.5445520399726098,3.1389746999675774,0.19695118163106382,1.5161960871578066,0.13834289277321493,11.90107419299477
11,Texas Instruments,4.20187493207613,0.29437863676608483,2.0464388615489546,0.8314656813660177,0.8841055947792745,1.0852589354540065,0.6268322047870171,-0.40243265384199706,0.4477659573162716,1.5161960871578066,0.13834289277321493,11.670227130182782
22,Elbit Systems,0.27172311863745724,0.46975003694270584,0.6182634405321088,0.0021738113071589904,0.7782054690888351,0.7383318987105126,1.3834284082648487,4.300478600883961,0.402245828305288,1.5161960871578066,0.13834289277321493,10.619139592603899
28,Garmin,0.6148889479358708,0.3183261052331672,0.4463048190677643,0.18343675856941008,0.5952870701689852,0.8717653743810873,0.9955782344000811,4.375414336426955,0.5111081817255705,1.5161960871578066,0.13834289277321493,10.566648807839913
82,AstroNova,0.007169556969307087,0.3952792508560475,0.018555779183358576,0.006792303153757035,0.14922290438198282,0.23128469116232928,1.441822207675715,5.550795225406857,0.3986132993069053,1.5161960871578066,0.13834289277321493,9.85407419802728
17,Analog Devices,1.633549620169056,0.38242938972736923,0.8191006091126026,0.4765926998345421,0.6739098907573418,1.2453791062586959,1.0074732676134057,1.2114610579450464,0.5300086841702807,1.5161960871578066,0.13834289277321493,9.634443305519362
